Lat Long,Emotion
"45.64,9.2",5
"46.02,10.86",5
"45.09,-93.21",5
"39.97,-83.09",5
"38.91,-94.33",5
"-27.37,153.02",5
"54.15,-4.52",5
"49.15,-122.69",5
"-2.22,-80.07",5
"-38.14,144.36",5
"-26.48,153.06",5
"44.44,7.52",5
"55.68,12.58",5
"31.23,121.44",5
"-27.26,152.97",5
"31.45,-110.13",5
"-27.42,153.07",5
"44.3,11.39",5
"36.11,-115.06",5
"49.84,-99.94",5
"44.61,-63.47",5
"40.76,-111.86",5
"45.52,-122.72",5
"-37.84,145.01",5
"51.49,0.07",5
"33.86,-118.14",5
"33.62,-112.43",5
"30.49,-90.87",5
"-27.56,151.96",5
"14.44,121.04",5
"49.84,-97.27",5
"34.37,132.36",5
"45.65,9.32",5
"24.94,55.07",5
"-33.85,151.2",5
"45.45,-75.59",5
"49.95,-98.28",5
"43.89,-79.44",5
"49.24,6.98",5
"-21.63,116.32",5
"34.13,-117.84",5
"44.35,-79.66",5
"43.45,-79.74",5
"52.29,5.25",5
"-27.58,151.98",5
"-27.67,153.19",5
"44.3,-78.32",5
"48.41,-123.35",5
"30.51,114.42",5
"54.95,-2.78",5
"33.99,-81.02",5
"52.55,13.56",5
"45.34,-75.79",5
"38.6,-121.51",5
"-26.3,152.66",5
"-31.94,115.85",5
"47.68,9.14",5
"1.34,103.74",5
"49.44,8.75",5
"50,8.65",5
"-27.41,153.05",5
"43.65,-79.38",5
"-41.14,174.83",5
"49.28,-122.87",5
"51.49,-0.18",5
"-27.49,152.98",5
"52.15,9.94",5
"52.22,18.24",5
"49.87,-99.96",5
"48.77,11.4",5
"55.14,-118.77",5
"-27.5,153.05",5
"50.71,6.91",5
"-33.76,150.92",5
"49.52,6.22",5
"-27.65,152.89",5
"-33.91,151.23",5
"-33.92,151.07",5
"64.81,25.99",5
"28.7,77.2",5
"43.07,-79.09",5
"-21.14,149.19",5
"45.78,15.99",5
"-27.54,153.06",5
"51.53,-0.26",5
"47.53,-52.73",5
"-35.34,149.1",5
"52.47,-113.73",5
"43.87,-79.28",5
"52.26,-113.75",5
"-41.47,147.13",5
"-33.92,150.91",5
"38.54,-0.12",5
"32.98,-96.77",5
"48.79,8.99",5
"-37.79,144.98",5
"52.56,13.34",5
"41.2,-111.95",4
"37.71,-122.15",4
"37.55,-77.46",4
"47.6,-122.33",4
"53.56,-113.28",4
"50.01,8.3",4
"52.53,10.15",4
"43.12,-79.24",4
"50.92,8.4",4
"-37.91,145.14",4
"-37.89,144.99",4
"-33.91,150.92",4
"43.65,-79.37",4
"49.89,-97.14",4
"39.13,-76.54",4
"-37.76,144.96",4
"59.86,17.63",4
"37.79,-122.4",4
"-35.02,117.88",4
"33.81,-118.12",4
"-7.96,112.61",4
"45.42,-75.68",4
"45.42,-73.82",4
"45.52,-73.57",4
"50.95,6.92",4
"37.85,-122.14",4
"43.7,-79.38",4
"47.65,-117.41",4
"45.34,-75.8",4
"45.05,7.67",4
"45.52,-73.7",4
"43.86,-79.3",4
"-33.86,151.17",4
"42.96,-78.85",4
"-32.05,115.74",4
"43.19,-79.54",4
"43.06,-79.74",4
"36.7,-76.19",4
"55.65,12.61",4
"59.33,18.04",4
"-32.93,151.68",4
"33.5,-112.07",4
"-40.84,172.85",4
"-19.15,146.6",4
"49.32,7.34",4
"38.6,-121.53",4
"51.47,6.95",4
"-16.91,145.77",4
"44.13,-72.49",4
"-26.18,152.65",4
"49.67,-112.78",4
"54.89,23.91",4
"-35.02,138.57",4
"53.65,-1.48",4
"58.38,26.69",4
"25.22,55.28",4
"43.65,-79.35",4
"51.94,8.88",4
"-37.78,145.33",4
"39.76,-74.98",4
"-27.6,153.08",4
